temperature, energy_per_site, mag_per_site, susceptibility, specific_heat, h_field
0.2222222222222222,-6.9095458984375,-0.9903564453125,0.017651015495321967,0.09268076238293294,-3
0.3333333333333333,-6.734130859375,-0.974365234375,0.020958287017564962,0.2081463527695279,-3
0.4444444444444444,-6.1544189453125,-0.9154052734375,0.03901032580133093,0.4878518679258756,-3
0.5555555555555556,-5.3533935546875,-0.8297119140625,0.04837431483378795,0.6938162522820943,-3
0.6666666666666666,-4.5797119140625,-0.7391357421875,0.04893169611996438,0.7569531105092281,-3
0.7777777777777778,-3.8011474609375,-0.6417236328125,0.04653349724926838,0.7493832416759085,-3
0.8888888888888888,-3.1517333984375,-0.5557861328125,0.041701576097641274,0.6972177659527087,-3
1.0,-2.76171875,-0.4921875,0.0359153161481851,0.6178416017435678,-3
1.1111111111111112,-2.2125244140625,-0.4163818359375,0.03155131769933134,0.5576299964747727,-3
1.2222222222222223,-2.0245361328125,-0.3817138671875,0.026717199406167166,0.492890040279681,-3
1.3333333333333333,-1.74560546875,-0.34033203125,0.023028657357721263,0.4419248443869172,-3
1.4444444444444444,-1.5224609375,-0.30224609375,0.019968244752465704,0.3967221020654784,-3
1.5555555555555556,-1.3902587890625,-0.2811279296875,0.017251306490272816,0.360840248111535,-3
1.6666666666666667,-1.239013671875,-0.247802734375,0.015137706558661692,0.323229184454049,-3
1.7777777777777777,-1.096923828125,-0.233642578125,0.013219591277710578,0.30080987599875464,-3
1.8888888888888888,-1.0965576171875,-0.2261962890625,0.011576738985371707,0.2787601051824567,-3
2.0,-0.905517578125,-0.188720703125,0.010347455683780043,0.24818914339536324,-3
2.111111111111111,-0.9290771484375,-0.1881103515625,0.009127145394141879,0.23400411611016064,-3
2.2222222222222223,-0.869140625,-0.18896484375,0.008079605907104095,0.2216497862537761,-3
2.3333333333333335,-0.8712158203125,-0.1805419921875,0.007209489558052483,0.20809264213907666,-3
2.4444444444444446,-0.8173828125,-0.17236328125,0.006452177860839901,0.1948734733457054,-3
2.5555555555555554,-0.7528076171875,-0.1529541015625,0.005816438887486333,0.17990909202631558,-3
2.6666666666666665,-0.722412109375,-0.154052734375,0.005210258229221497,0.1734742296605365,-3
2.7777777777777777,-0.6375732421875,-0.1373291015625,0.004708862351352216,0.16082810573271342,-3
2.888888888888889,-0.6396484375,-0.13720703125,0.004234323891389732,0.15472703807483193,-3
3.0,-0.6300048828125,-0.1331787109375,0.0038173266907379176,0.14545264371183825,-3
3.111111111111111,-0.5516357421875,-0.1290283203125,0.00344398997018375,0.1400188691253787,-3
3.2222222222222223,-0.482666015625,-0.106201171875,0.003128822039911177,0.12820184503709078,-3
3.3333333333333335,-0.4888916015625,-0.1107177734375,0.0028155243108212136,0.12569017337227448,-3
3.4444444444444446,-0.5654296875,-0.1162109375,0.0025310795199865524,0.12092640422460271,-3
3.5555555555555554,-0.46728515625,-0.09619140625,0.0022945674486429296,0.11332910725268441,-3
3.6666666666666665,-0.442626953125,-0.093017578125,0.0020652907369163244,0.10774541531390813,-3
3.7777777777777777,-0.435546875,-0.09423828125,0.0018530062880690388,0.10482596153772149,-3
3.888888888888889,-0.4337158203125,-0.0946044921875,0.0016592004252101579,0.10081922220516502,-3
4.0,-0.3936767578125,-0.0853271484375,0.0014867027823557942,0.09568463062856478,-3
4.111111111111111,-0.3677978515625,-0.0799560546875,0.0013255755027230818,0.09156655688206922,-3
4.222222222222222,-0.43798828125,-0.0947265625,0.0011673064247340287,0.0911173093116862,-3
4.333333333333333,-0.3848876953125,-0.0872802734375,0.0010316079289300782,0.08650744374273588,-3
4.444444444444445,-0.405517578125,-0.081787109375,0.0009048022016985072,0.08346766887935643,-3
4.555555555555555,-0.3475341796875,-0.0870361328125,0.0007827775509800277,0.08192281128948047,-3
4.666666666666667,-0.3638916015625,-0.0770263671875,0.0006751599138045312,0.07787332771233553,-3
4.777777777777778,-0.3197021484375,-0.0679931640625,0.0005741567815724528,0.07375559223428886,-3
4.888888888888889,-0.30908203125,-0.0830078125,0.0004724912508684594,0.07350205763540225,-3
5.0,-0.267333984375,-0.063232421875,0.0003878435544055269,0.06864852338380746,-3
5.111111111111111,-0.31640625,-0.0615234375,0.0003034584951880373,0.06595710020169483,-3
5.222222222222222,-0.32666015625,-0.0791015625,0.0002195212455063164,0.06700415211440335,-3
5.333333333333333,-0.24951171875,-0.064453125,0.00014882685181996695,0.06275384124849867,-3
5.444444444444445,-0.366943359375,-0.083251953125,7.419607552431406e-05,0.06418484915223509,-3
5.555555555555555,-0.248046875,-0.0576171875,1.4332175264869269e-05,0.05882165097491099,-3
0.2222222222222222,-5.886474609375,-0.9866943359375,0.024906520189810186,0.09580172989722638,-2
0.3333333333333333,-5.47607421875,-0.942138671875,0.048466328196195965,0.3337677071857806,-2
0.4444444444444444,-4.71630859375,-0.8505859375,0.0676885077528676,0.5552986189630186,-2
0.5555555555555556,-3.7939453125,-0.724609375,0.07456775118439463,0.6412592261751238,-2
0.6666666666666666,-2.89697265625,-0.59228515625,0.07070212755078131,0.6190810461639631,-2
0.7777777777777778,-2.233642578125,-0.4781494140625,0.06151881823892986,0.5356932054266563,-2
0.8888888888888888,-1.8271484375,-0.40087890625,0.05098333088777768,0.44883245158494384,-2
1.0,-1.530029296875,-0.3450927734375,0.042010143766333066,0.38336475378068846,-2
1.1111111111111112,-1.32470703125,-0.306884765625,0.034725847392869984,0.3315133864747664,-2
1.2222222222222223,-1.11181640625,-0.25244140625,0.02943298035634909,0.28051250693850777,-2
